[[83, 45, 61, 84, 5, 60, 89], [87, 57, 2, 58], [28, 29, 78, 34, 35, 3, 77], [73, 22, 72, 54, 24, 80, 12], [42, 15, 41, 75, 56, 74, 21], [94, 96, 99, 6], [65, 71, 81, 20, 32, 70], [50, 33, 30, 51, 9, 66, 1], [40, 53], [92, 37, 98, 85, 16, 86, 91, 97, 13], [62, 88, 8, 46, 17, 93, 59], [63, 64, 90, 10, 31], [27, 69, 76, 79, 68], [52, 7, 11, 19, 49, 48, 82], [14, 44, 38, 43, 100, 95], [36, 47, 18], [39, 23, 67, 55, 4, 25, 26], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [71, 65, 78, 34, 35, 81, 77, 28], [26, 39, 23, 67, 55, 24, 29, 3], [27, 69, 30, 9, 66, 20, 51, 1], [2, 22, 75, 56, 4, 25, 54], [36, 64, 49, 63, 90, 32, 70], [52, 62, 88, 84, 17, 93, 59], [50, 33, 76, 79, 10, 31], [60, 45, 83, 5, 99, 6], [94, 96, 95, 97, 87, 13], [40, 53, 12, 68, 80]]
[[92, 37, 98, 85, 16, 86, 91, 97, 13], [83, 45, 61, 84, 5, 60, 89], [65, 71, 81, 20, 32, 70], [63, 64, 90, 10, 31], [36, 47, 18], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [40, 53, 12, 68, 80], [94, 96, 99, 6], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [62, 88, 8, 46, 17, 93, 59], [39, 23, 67, 55, 4, 25, 26], [40, 53], [50, 33, 76, 79, 10, 31], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [36, 64, 49, 63, 90, 32, 70], [50, 33, 30, 51, 9, 66, 1], [52, 7, 11, 19, 49, 48, 82], [87, 57, 2, 58], [60, 45, 83, 5, 99, 6], [2, 22, 75, 56, 4, 25, 54], [27, 69, 76, 79, 68], [73, 22, 72, 54, 24, 80, 12], [94, 96, 95, 97, 87, 13], [52, 62, 88, 84, 17, 93, 59], [42, 15, 41, 75, 56, 74, 21], [27, 69, 30, 9, 66, 20, 51, 1], [71, 65, 78, 34, 35, 81, 77, 28], [26, 39, 23, 67, 55, 24, 29, 3], [14, 44, 38, 43, 100, 95], [28, 29, 78, 34, 35, 3, 77]]

[[36, 64, 49, 63, 90, 32, 70], [36, 47, 18], [40, 53, 12, 68, 80], [73, 22, 72, 54, 24, 80, 12], [94, 96, 99, 6], [62, 88, 8, 46, 17, 93, 59], [63, 64, 90, 10, 31], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [52, 7, 11, 19, 49, 48, 82], [27, 69, 76, 79, 68], [40, 53], [26, 39, 23, 67, 55, 24, 29, 3], [87, 57, 2, 58], [94, 96, 95, 97, 87, 13], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [27, 69, 30, 9, 66, 20, 51, 1], [42, 15, 41, 75, 56, 74, 21], [2, 22, 75, 56, 4, 25, 54], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [52, 62, 88, 84, 17, 93, 59], [39, 23, 67, 55, 4, 25, 26], [71, 65, 78, 34, 35, 81, 77, 28], [92, 37, 98, 85, 16, 86, 91, 97, 13], [65, 71, 81, 20, 32, 70], [83, 45, 61, 84, 5, 60, 89], [14, 44, 38, 43, 100, 95], [50, 33, 76, 79, 10, 31], [28, 29, 78, 34, 35, 3, 77], [60, 45, 83, 5, 99, 6], [50, 33, 30, 51, 9, 66, 1]]

[[40, 53, 12, 68, 80], [65, 71, 81, 20, 32, 70], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [60, 45, 83, 5, 99, 6], [39, 23, 67, 55, 4, 25, 26], [73, 22, 72, 54, 24, 80, 12], [42, 15, 41, 75, 56, 74, 21], [36, 47, 18], [71, 65, 78, 34, 35, 81, 77, 28], [2, 22, 75, 56, 4, 25, 54], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [92, 37, 98, 85, 16, 86, 91, 97, 13], [63, 64, 90, 10, 31], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [52, 62, 88, 84, 17, 93, 59], [36, 64, 49, 63, 90, 32, 70], [52, 7, 11, 19, 49, 48, 82], [62, 88, 8, 46, 17, 93, 59], [50, 33, 76, 79, 10, 31], [87, 57, 2, 58], [27, 69, 30, 9, 66, 20, 51, 1], [26, 39, 23, 67, 55, 24, 29, 3], [94, 96, 99, 6], [40, 53], [50, 33, 30, 51, 9, 66, 1], [14, 44, 38, 43, 100, 95], [83, 45, 61, 84, 5, 60, 89], [27, 69, 76, 79, 68], [94, 96, 95, 97, 87, 13], [28, 29, 78, 34, 35, 3, 77]]

[[26, 39, 23, 67, 55, 24, 29, 3], [42, 15, 41, 75, 56, 74, 21], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [39, 23, 67, 55, 4, 25, 26], [73, 22, 72, 54, 24, 80, 12], [94, 96, 99, 6], [36, 64, 49, 63, 90, 32, 70], [27, 69, 30, 9, 66, 20, 51, 1], [60, 45, 83, 5, 99, 6], [52, 62, 88, 84, 17, 93, 59], [71, 65, 78, 34, 35, 81, 77, 28], [83, 45, 61, 84, 5, 60, 89], [2, 22, 75, 56, 4, 25, 54], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [27, 69, 76, 79, 68], [92, 37, 98, 85, 16, 86, 91, 97, 13], [87, 57, 2, 58], [50, 33, 76, 79, 10, 31], [62, 88, 8, 46, 17, 93, 59], [52, 7, 11, 19, 49, 48, 82], [36, 47, 18], [40, 53, 12, 68, 80], [63, 64, 90, 10, 31], [28, 29, 78, 34, 35, 3, 77], [50, 33, 30, 51, 9, 66, 1], [65, 71, 81, 20, 32, 70], [14, 44, 38, 43, 100, 95], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [40, 53], [94, 96, 95, 97, 87, 13]]

[[50, 33, 76, 79, 10, 31], [92, 37, 98, 85, 16, 86, 91, 97, 13], [52, 7, 11, 19, 49, 48, 82], [63, 64, 90, 10, 31], [73, 22, 72, 54, 24, 80, 12], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [14, 44, 38, 43, 100, 95], [36, 64, 49, 63, 90, 32, 70], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [27, 69, 76, 79, 68], [42, 15, 41, 75, 56, 74, 21], [71, 65, 78, 34, 35, 81, 77, 28], [60, 45, 83, 5, 99, 6], [2, 22, 75, 56, 4, 25, 54], [62, 88, 8, 46, 17, 93, 59], [28, 29, 78, 34, 35, 3, 77], [40, 53, 12, 68, 80], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [65, 71, 81, 20, 32, 70], [36, 47, 18], [39, 23, 67, 55, 4, 25, 26], [94, 96, 95, 97, 87, 13], [52, 62, 88, 84, 17, 93, 59], [94, 96, 99, 6], [27, 69, 30, 9, 66, 20, 51, 1], [87, 57, 2, 58], [26, 39, 23, 67, 55, 24, 29, 3], [83, 45, 61, 84, 5, 60, 89], [50, 33, 30, 51, 9, 66, 1], [40, 53]]

[[63, 64, 90, 10, 31], [94, 96, 99, 6], [92, 37, 98, 85, 16, 86, 91, 97, 13], [71, 65, 78, 34, 35, 81, 77, 28], [52, 62, 88, 84, 17, 93, 59], [36, 64, 49, 63, 90, 32, 70], [39, 23, 67, 55, 4, 25, 26], [14, 44, 38, 43, 100, 95], [94, 96, 95, 97, 87, 13], [42, 15, 41, 75, 56, 74, 21], [2, 22, 75, 56, 4, 25, 54], [60, 45, 83, 5, 99, 6], [50, 33, 76, 79, 10, 31], [27, 69, 76, 79, 68], [73, 22, 72, 54, 24, 80, 12], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [36, 47, 18], [52, 7, 11, 19, 49, 48, 82], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [50, 33, 30, 51, 9, 66, 1], [28, 29, 78, 34, 35, 3, 77], [62, 88, 8, 46, 17, 93, 59], [87, 57, 2, 58], [27, 69, 30, 9, 66, 20, 51, 1], [40, 53, 12, 68, 80], [65, 71, 81, 20, 32, 70], [83, 45, 61, 84, 5, 60, 89], [26, 39, 23, 67, 55, 24, 29, 3], [40, 53], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89]]

[[65, 71, 81, 20, 32, 70], [27, 69, 30, 9, 66, 20, 51, 1], [50, 33, 30, 51, 9, 66, 1], [60, 45, 83, 5, 99, 6], [26, 39, 23, 67, 55, 24, 29, 3], [28, 29, 78, 34, 35, 3, 77], [27, 69, 76, 79, 68], [94, 96, 99, 6], [73, 22, 72, 54, 24, 80, 12], [14, 44, 38, 43, 100, 95], [71, 65, 78, 34, 35, 81, 77, 28], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [92, 37, 98, 85, 16, 86, 91, 97, 13], [63, 64, 90, 10, 31], [36, 47, 18], [62, 88, 8, 46, 17, 93, 59], [87, 57, 2, 58], [52, 7, 11, 19, 49, 48, 82], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [40, 53, 12, 68, 80], [40, 53], [42, 15, 41, 75, 56, 74, 21], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [52, 62, 88, 84, 17, 93, 59], [2, 22, 75, 56, 4, 25, 54], [50, 33, 76, 79, 10, 31], [39, 23, 67, 55, 4, 25, 26], [94, 96, 95, 97, 87, 13], [83, 45, 61, 84, 5, 60, 89], [36, 64, 49, 63, 90, 32, 70]]

[[50, 33, 76, 79, 10, 31], [63, 64, 90, 10, 31], [36, 47, 18], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [65, 71, 81, 20, 32, 70], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [39, 23, 67, 55, 4, 25, 26], [50, 33, 30, 51, 9, 66, 1], [52, 7, 11, 19, 49, 48, 82], [83, 45, 61, 84, 5, 60, 89], [26, 39, 23, 67, 55, 24, 29, 3], [73, 22, 72, 54, 24, 80, 12], [36, 64, 49, 63, 90, 32, 70], [52, 62, 88, 84, 17, 93, 59], [40, 53], [71, 65, 78, 34, 35, 81, 77, 28], [62, 88, 8, 46, 17, 93, 59], [2, 22, 75, 56, 4, 25, 54], [92, 37, 98, 85, 16, 86, 91, 97, 13], [27, 69, 76, 79, 68], [94, 96, 99, 6], [42, 15, 41, 75, 56, 74, 21], [14, 44, 38, 43, 100, 95], [28, 29, 78, 34, 35, 3, 77], [94, 96, 95, 97, 87, 13], [60, 45, 83, 5, 99, 6], [40, 53, 12, 68, 80], [87, 57, 2, 58], [27, 69, 30, 9, 66, 20, 51, 1]]

[[65, 71, 81, 20, 32, 70], [92, 37, 98, 85, 16, 86, 91, 97, 13], [14, 44, 38, 43, 100, 95], [39, 23, 67, 55, 4, 25, 26], [94, 96, 99, 6], [50, 33, 30, 51, 9, 66, 1], [71, 65, 78, 34, 35, 81, 77, 28], [42, 15, 41, 75, 56, 74, 21], [63, 64, 90, 10, 31], [73, 22, 72, 54, 24, 80, 12], [26, 39, 23, 67, 55, 24, 29, 3], [60, 45, 83, 5, 99, 6], [52, 7, 11, 19, 49, 48, 82], [27, 69, 76, 79, 68], [28, 29, 78, 34, 35, 3, 77], [40, 53, 12, 68, 80], [2, 22, 75, 56, 4, 25, 54], [42, 43, 15, 57, 41, 74, 72, 73, 21, 58], [50, 33, 76, 79, 10, 31], [40, 53], [87, 57, 2, 58], [94, 96, 95, 97, 87, 13], [83, 45, 61, 84, 5, 60, 89], [62, 88, 8, 46, 17, 93, 59], [52, 62, 88, 84, 17, 93, 59], [7, 19, 11, 8, 46, 47, 48, 82, 18, 89], [92, 98, 14, 44, 38, 86, 16, 61, 85, 91, 100, 37], [36, 64, 49, 63, 90, 32, 70], [36, 47, 18], [27, 69, 30, 9, 66, 20, 51, 1]]

